pack_name;title;level;tags_raw;Category;display_title_en;display_title_tr
YDS Set 001;025-Emotions and Thoughts (Duygular ve Düşünceler);A2;"psychology; emotions";Psychology & Health;Emotions and Thoughts: Understanding Our Reactions;Duygular ve Düşünceler: Tepkilerimizi Anlamak
YDS Set 001;026-FC Barcelona: More Than a Club (FC Barcelona: Bir Kulüpten Daha Fazlası);A2;"sports; football; culture";Sports;FC Barcelona: Sport, Identity, and Community;FC Barcelona: Spor, Kimlik ve Topluluk
YDS Set 001;027-Football: The World's Most Popular Sport (Futbol: Dünyanın En Popüler Sporu);A2;"sports; football; culture";Sports;Football: Why the World Plays the Same Game;Futbol: Dünya Neden Aynı Oyunu Oynuyor?
YDS Set 001;028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);A2;"sports; motor racing; determination";Sports;Giovanna Amati: Breaking Barriers in Motor Racing;Giovanna Amati: Motor Sporlarında Engelleri Aşmak
YDS Set 001;029-Going to Britain (İngiltere'ye Gidiş);A2;"travel; money; transport";Travel & Geography;Going to Britain: Planning a Practical Trip;Britanya'ya Gitmek: Pratik Bir Seyahat Planlamak
YDS Set 001;030-Grandmother's Glasses (Anneannenin Gözlüğü);A2;"story; childhood; family";Personal Stories & Human Interest;Grandmother's Glasses: A Small Family Mystery;Büyükannenin Gözlükleri: Küçük Bir Aile Gizemi
YDS Set 001;031-Home Sweet Home (Yuva Tatlı Yuva);A2;"housing; economy; lifestyle";Culture & Society;Home Sweet Home: Why Familiar Places Matter;Evim Güzel Evim: Tanıdık Mekânlar Neden Önemlidir?
YDS Set 001;032-Job Advertisements (İş İlanları);A2;"employment; jobs; skills";Work & Career Advice;How to Read a Job Advertisement;İş İlanı Nasıl Okunur?
YDS Set 001;033-Job Centre Leaflet (İş Merkezi Broşürü);A2;"work; job hunting; advice";Work & Career Advice;Using a Job Centre Effectively;İş Bulma Merkezini Etkili Kullanmak
YDS Set 001;034-Lebrat's Visit (Lebrat'ın Ziyareti);A2;"news; business; travel";Economics & Business;A Business Visit: Turning a Meeting into Cooperation;İş Ziyareti: Bir Toplantıyı İş Birliğine Dönüştürmek
YDS Set 001;035-Longleat House (Longleat Evi);A2;"architecture; tourism; history";History;Longleat House: Heritage as a Living Place;Longleat House: Yaşayan Bir Miras Alanı
YDS Set 001;036-Mahatma Gandhi (Mahatma Gandhi);A2;"biography; history; politics";History;Mahatma Gandhi and Nonviolent Political Action;Mahatma Gandhi ve Şiddetsiz Siyasal Eylem
YDS Set 001;037-Mammals (Memeliler);A2;"biology; nature; animals";Biology & Animals;Mammals: A Diverse Branch of Animal Life;Memeliler: Hayvan Yaşamının Çeşitli Bir Dalı
YDS Set 001;038-Men in Skirts (Etekli Erkekler);A2;"culture; history; clothing";Food & Agriculture;Clothing, Gender, and Cultural Tradition;Giyim, Cinsiyet ve Kültürel Gelenek
YDS Set 001;039-Ölüdeniz: Turkey's Blue Lagoon (Ölüdeniz: Türkiye'nin Mavi Lagünü);A2;"travel; geography; turkey";Travel & Geography;Ölüdeniz: Tourism and Care for a Blue Lagoon;Ölüdeniz: Mavi Lagünde Turizm ve Koruma
YDS Set 001;040-Parachuting (Paraşütle Atlama);A2;"sports; parachuting; skydiving";Sports;Parachuting: Training Before the Jump;Paraşütle Atlama: Atlayıştan Önce Eğitim
YDS Set 001;041-Picking Apples - A New England Tradition (Elma Toplamak - Bir New England Geleneği);A2;"lifestyle; nature; traditions";Culture & Society;Apple Picking: A New England Autumn Tradition;Elma Toplama: New England'da Bir Sonbahar Geleneği
YDS Set 001;042-Plaza Shopping Centre (Plaza Alışveriş Merkezi);A2;"shopping; facilities; lifestyle";Everyday Life & Consumption;Shopping Centres: Convenience and Choice;Alışveriş Merkezleri: Kolaylık ve Seçenek
YDS Set 001;043-San Francisco (San Francisco);A2;"cities; culture; tourism";Culture & Society;San Francisco: A City Shaped by Land and Water;San Francisco: Kara ve Suyun Şekillendirdiği Bir Şehir
YDS Set 001;044-Selton's Second Shopping Centre (Selton'un İkinci AVM'si);A2;"news; shopping; facilities";Everyday Life & Consumption;A Second Shopping Centre: Growth or Too Much Competition?;İkinci Bir Alışveriş Merkezi: Büyüme mi, Aşırı Rekabet mi?
YDS Set 001;045-Small Cars (Küçük Arabalar);A2;"technology; cars; future";Science & Technology;Small Cars in a Changing Transport System;Değişen Ulaşım Sisteminde Küçük Otomobiller
YDS Set 001;046-Space Hotels (Uzay Otelleri);A2;"technology; tourism; space";Science & Technology;Space Hotels: Tourism Beyond Earth;Uzay Otelleri: Dünya'nın Ötesinde Turizm
YDS Set 001;047-Super Tanker Disaster (Süper Tanker Felaketi);A2;"news; accidents; environment";Environment & Nature;Oil Tanker Accidents: Response, Recovery, and Prevention;Petrol Tankeri Kazaları: Müdahale, İyileştirme ve Önleme
YDS Set 001;048-Technology Pros and Cons (Teknolojinin Artıları ve Eksileri);A2;"technology; society";Science & Technology;Technology: Benefits, Risks, and Responsible Choices;Teknoloji: Yararlar, Riskler ve Sorumlu Tercihler
YDS Set 001;049-The Hebrides Islands (Hebrides Adalari);A2;"tourism; scotland; geography";Travel & Geography;The Hebrides: Island Life on Scotland's Atlantic Edge;Hebridler: İskoçya'nın Atlantik Kıyısında Ada Yaşamı
YDS Set 001;050-The International Hotel (Uluslararası Otel);A2;"accommodation; services; facilities";Everyday Life & Consumption;International Hotels: Serving Guests Across Cultures;Uluslararası Oteller: Farklı Kültürlerden Konuklara Hizmet
YDS Set 001;051-The Invention of the Telephone (Telefonun İcadı);A2;"history; technology; communication";Science & Technology;The Invention of the Telephone: From Experiment to Network;Telefonun İcadı: Deneyden İletişim Ağına
YDS Set 001;052-The Olympic Games (Olimpiyat Oyunları);A2;"sports; history; politics";Sports;The Olympic Games: Competition and International Ideals;Olimpiyat Oyunları: Rekabet ve Uluslararası İdealler
YDS Set 001;053-The Olympic Games (Olimpiyat Oyunları);A2;"sports; history; culture";Sports;The Olympic Games: Sport, Culture, and Shared Attention;Olimpiyat Oyunları: Spor, Kültür ve Ortak İlgi
YDS Set 001;054-The Virtual Beach but Real Fun (Sanal Plaj ama Gercek Eglence);A2;"leisure; tourism; japan";Travel & Geography;The Virtual Beach: Real Fun in a Simulated World;Sanal Plaj: Simüle Edilmiş Bir Dünyada Gerçek Eğlence
YDS Set 001;055-Tom's Diary (Tom'un Günlüğü);A2;"diary; school; lifestyle";Personal Stories & Human Interest;Tom's Diary: How Daily Writing Preserves Experience;Tom'un Günlüğü: Günlük Yazmak Deneyimi Nasıl Korur?
YDS Set 001;056-Transportation in Turkey (Türkiye'de Ulaşım);A2;"transport; economy; comparison";Travel & Geography;Transportation in Turkey: Connecting a Large and Varied Country;Türkiye'de Ulaşım: Büyük ve Çeşitli Bir Ülkeyi Birbirine Bağlamak
YDS Set 001;057-Various Advertisements (Çeşitli İlanlar);A2;"education; events; services";Education;Reading Advertisements Critically;Reklamları Eleştirel Okumak
YDS Set 001;058-Visiting Japan (Japonya'yı Ziyaret Etmek);A2;"travel; culture; lifestyle";Culture & Society;Visiting Japan: Respect, Preparation, and Discovery;Japonya'yı Ziyaret Etmek: Saygı, Hazırlık ve Keşif
YDS Set 001;059-William Shakespeare (William Shakespeare);A2;"biography; literature; history";History;William Shakespeare: Theatre, Language, and Lasting Influence;William Shakespeare: Tiyatro, Dil ve Kalıcı Etki
YDS Set 001;060-Winter: The Coldest Season (Kış: En Soğuk Mevsim);A2;"weather; seasons; nature";Environment & Nature;Winter: Life in the Coldest Season;Kış: En Soğuk Mevsimde Yaşam
YDS Set 001;061-World in Danger (Dünyamız Tehlikede);A2;"environment; conservation";Environment & Nature;A World in Danger: Protecting Shared Natural Systems;Tehlikedeki Dünya: Ortak Doğal Sistemleri Korumak
YDS Set 001;062-Young Communicators on the EU Path Competition (AB Yolunda Genç İletişimciler Yarışması);A2;"eu; youth; competition";Youth & Children;Young Communicators on the EU Path;AB Yolunda Genç İletişimciler
YDS Set 002;063-A Case for Safety (Güvenlik İçin Bir Dava);B1;"safety; traffic; society";Transportation & Vehicles;A Case for Safety: Preventing Everyday Accidents;Güvenlik İçin Bir Gerekçe: Günlük Kazaları Önlemek
YDS Set 002;064-A Good Life (İyi Bir Yaşam);B1;"culture; lifestyle; longevity";Culture & Society;A Good Life: More Than Money or Comfort;İyi Bir Yaşam: Para ve Rahatlıktan Daha Fazlası
YDS Set 002;065-A Healthy Diet for Everyone (Herkes İçin Sağlıklı Bir Diyet);B1;"health; food; lifestyle";Psychology & Health;A Healthy Diet for Everyone;Herkes İçin Sağlıklı Beslenme
YDS Set 002;066-A Land of Immigrants (Bir Göçmenler Ülkesi);B1;"history; immigration; USA";History;A Land of Immigrants: Migration and the Making of Society;Göçmenler Ülkesi: Göç ve Toplumun Oluşumu
YDS Set 002;067-Aborigines: The Native Australians (Aborijinler: Yerli Avustralyalılar);B1;"history; culture; anthropology";Food & Agriculture;Aboriginal Australians: The World's Oldest Continuing Cultures;Aborjin Avustralyalılar: Dünyanın En Eski Süregelen Kültürlerinden Biri
YDS Set 002;068-Aktekke Mosque (Aktekke Camii);B1;"history; architecture; religion";History;Aktekke Mosque: Architecture, Worship, and Urban Memory;Aktekke Camii: Mimari, İbadet ve Kentsel Hafıza
YDS Set 002;069-All You Want to Learn about Corn (Mısır Hakkında Öğrenmek İstediğiniz Her Şey);B1;"agriculture; food; science";Food & Agriculture;Corn: From Field to Food and Industry;Mısır: Tarladan Gıdaya ve Sanayiye
YDS Set 002;070-Ancient Artifacts and Ancient Air (Antik Eserler ve Antik Hava);B1;"archaeology; history; science";History;Ancient Artifacts: What Objects Can Tell Us About the Past;Antik Eserler: Nesneler Geçmiş Hakkında Ne Anlatabilir?
YDS Set 002;071-Animals (Hayvanlar);B1;"animals; nature; appreciation";Biology & Animals;Animals: Diversity, Adaptation, and Survival;Hayvanlar: Çeşitlilik, Uyum ve Hayatta Kalma
YDS Set 002;072-Animals: Blessings of Nature (Hayvanlar: Doğanın Nimettleri);B1;"nature; animals; environment";Environment & Nature;Animals as Essential Partners in Ecosystems;Ekosistemlerin Vazgeçilmez Ortakları Olarak Hayvanlar
YDS Set 002;073-Astrology: A System of Belief (Astroloji: Bir İnanç Sistemi);B1;"astrology; culture; belief systems";Astrology & Belief Systems;Astrology: Cultural Meaning and Scientific Evidence;Astroloji: Kültürel Anlam ve Bilimsel Kanıt
YDS Set 002;074-Attitudes towards Money (Paraya Karşı Tutumlar);B1;"psychology; money; saving";Psychology & Health;Attitudes toward Money: Security, Status, and Choice;Paraya Yönelik Tutumlar: Güvenlik, Statü ve Tercih
YDS Set 002;075-Base-Jumping (Base-Atlama);B1;"sports; extreme sports; base-jumping";Sports;BASE Jumping: Extreme Sport and Narrow Safety Margins;BASE Jumping: Ekstrem Spor ve Dar Güvenlik Payları
YDS Set 002;076-Beating The Bullies (Zorbaları Yenmek);B1;"psychology; bullying; children";Youth & Children;Beating the Bullies: Prevention, Support, and School Culture;Zorbalıkla Mücadele: Önleme, Destek ve Okul Kültürü
YDS Set 002;077-Blue-Jeans (Kot Pantolon);B1;"fashion; history; business";History;Blue Jeans: From Workwear to Global Fashion;Mavi Kot Pantolon: İş Giysisinden Küresel Modaya
YDS Set 002;078-Breast Cancer (Meme Kanseri);B1;"health; cancer";Health & Medicine;Breast Cancer: Awareness, Detection, and Treatment;Meme Kanseri: Farkındalık, Tanı ve Tedavi
YDS Set 002;079-Cities in the Sea (Denizdeki Şehirler);B1;"future; population; environment";Environment & Nature;Cities in the Sea: Engineering for a Crowded Coast;Denizde Şehirler: Kalabalık Kıyılar İçin Mühendislik
YDS Set 002;080-Climber Fights For Life On Mountain (Dağcı Dağda Hayatı İçin Savaşıyor);B1;"sports; mountaineering; survival";Sports;Mountain Rescue: When a Climber's Life Depends on Decisions;Dağ Kurtarma: Bir Dağcının Yaşamı Kararlara Bağlı Olduğunda
YDS Set 002;081-Comets (Kuyruklu Yıldızlar);B1;"astronomy; science; space";Astronomy & Space;Comets: Icy Visitors to the Inner Solar System;Kuyruklu Yıldızlar: İç Güneş Sisteminin Buzlu Ziyaretçileri
YDS Set 002;082-Corn (Mısır);B1;"agriculture; food; history";Food & Agriculture;Corn Through History: A Crop Shaped by People;Tarih Boyunca Mısır: İnsanların Şekillendirdiği Bir Ürün
YDS Set 002;083-Culture Shock! (Kültür Şoku!);B1;"culture; cultural differences; culture shock";Culture & Society;Culture Shock: Learning to Live with Unfamiliar Rules;Kültür Şoku: Tanıdık Olmayan Kurallarla Yaşamayı Öğrenmek
YDS Set 002;084-Demand for beef speeds destruction of Amazon forest (Sığır eti talebi Amazon ormanının yıkımını hızlandırıyor);B1;"environment; amazon; deforestation";Environment & Nature;Beef Demand and Amazon Deforestation;Sığır Eti Talebi ve Amazon Ormansızlaşması
YDS Set 002;085-Diana, Princess of Wales: The People's Princess (Galler Prensesi Diana: Halkın Prensesi);B1;"biography; royalty; history";History;Diana, Princess of Wales: Public Life and Humanitarian Influence;Galler Prensesi Diana: Kamusal Yaşam ve İnsani Etki
YDS Set 002;086-Disabled at Work Project Wins European Award (Engelliler Çalışıyor Projesi'ne Avrupa Ödülü);B1;"disability; employment; awards";Disability & Social Rights;Disabled at Work: Building Inclusive Employment;İş Yaşamında Engellilik: Kapsayıcı İstihdam Oluşturmak
YDS Set 002;087-Downhill All The Way - To Casualty (Tam Gaz Aşağı - Hastaneye Kadar);B1;"sports; cycling; mountain biking";Sports;Downhill All the Way: Speed, Skill, and Injury Risk;Yokuş Aşağı Sonuna Kadar: Hız, Beceri ve Yaralanma Riski
YDS Set 002;088-Earthquake Prediction (Deprem Tahmini);B1;"science; earthquakes; prediction";Science & Technology;Earthquake Prediction: What Science Can and Cannot Do;Deprem Tahmini: Bilimin Yapabildikleri ve Yapamadıkları
YDS Set 002;089-Future of Rail Transport (Demiryolu Taşımacılığının Geleceği);B1;"transport; UK; infrastructure";Travel & Geography;The Future of Rail Transport;Demiryolu Ulaşımının Geleceği
YDS Set 002;090-Gandhi Indian Restaurant (Gandhi Hint Restoranı);B1;"food; restaurant; business";Economics & Business;An Indian Restaurant: Food, Service, and Cultural Adaptation;Bir Hint Restoranı: Yemek, Hizmet ve Kültürel Uyum
YDS Set 002;091-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);B1;"sport; motor racing; biography";Sports;Giovanna Amati: Talent, Opportunity, and Racing Careers;Giovanna Amati: Yetenek, Fırsat ve Yarış Kariyeri
YDS Set 002;092-Growing Up (Büyümek);B1;"psychology; family; adolescence";Psychology & Health;Growing Up: Change, Independence, and Responsibility;Büyümek: Değişim, Bağımsızlık ve Sorumluluk
YDS Set 002;093-Hair Loss: Causes and Prevalence (Saç Dökülmesi: Nedenleri ve Yaygınlığı);B1;"health; medicine; biology";Health & Medicine;Hair Loss: Causes, Patterns, and Practical Responses;Saç Dökülmesi: Nedenler, Örüntüler ve Pratik Yaklaşımlar
YDS Set 002;094-Halley's Comet (Halley Kuyruklu Yıldızı);B1;"astronomy; space; science";Astronomy & Space;Halley's Comet: A Predictable Visitor from Deep Space;Halley Kuyruklu Yıldızı: Derin Uzaydan Öngörülebilir Bir Ziyaretçi
YDS Set 002;095-Harrods: A Different World (Harrods: Farklı Bir Dünya);B1;"shopping; business; retail";Economics & Business;Harrods: Retail, Luxury, and the Department Store Experience;Harrods: Perakende, Lüks ve Büyük Mağaza Deneyimi
YDS Set 002;096-High-Rise (Yüksek Binalar);B1;"urban life; architecture; society";Culture & Society;High-Rise Buildings: Building Upward in Dense Cities;Yüksek Katlı Binalar: Yoğun Şehirlerde Yukarı Doğru İnşa Etmek
YDS Set 002;097-How New York Began (New York Nasil Basladi);B1;"history; usa; geography";History;How New York Began: From Harbor Settlement to Global City;New York Nasıl Başladı: Liman Yerleşiminden Küresel Kente
YDS Set 002;098-Indigenous Australia (Yerli Avustralya);B1;"culture; history; Australia";Food & Agriculture;Indigenous Australia: Country, Culture, and Continuing Rights;Yerli Avustralya: Toprak, Kültür ve Süregelen Haklar
YDS Set 002;099-Inflation (Enflasyon);B1;"economics; inflation; economy";Economics & Business;Inflation: Why Prices Rise and Why It Matters;Enflasyon: Fiyatlar Neden Yükselir ve Neden Önemlidir?
YDS Set 002;100-Internet as News Source (İnternet Haber Kaynağı);B1;"internet; media; news";Media & Communication;The Internet as a News Source: Speed, Access, and Verification;Haber Kaynağı Olarak İnternet: Hız, Erişim ve Doğrulama
YDS Set 002;101-Istanbul Prepares for the EU: Town-Twinning Programme (İstanbul AB'ye Hazırlanıyor: Şehir Eşleştirme Programı);B1;"eu; turkey; local government";Politics & Government;Istanbul Prepares for the EU: Town-Twinning Programme;İstanbul AB'ye Hazırlanıyor: Şehir Eşleştirme Programı
YDS Set 002;102-Japanese Culture (Japon Kültürü);B1;"culture; food; clothing";Food & Agriculture;Japanese Culture;Japon Kültürü
YDS Set 002;103-Kings Of The Road (Yolun Kralları);B1;"sports; cycling; Tour de France";Sports;Kings Of The Road;Yolun Kralları
YDS Set 002;104-Koreans succeed in cloning human embryos (Koreliler insan embriyolarını klonlamayı başardı);B1;"cloning; science; medicine";Science & Technology;Koreans succeed in cloning human embryos;Koreliler insan embriyolarını klonlamayı başardı
YDS Set 002;105-Kwanzaa (Kwanzaa);B1;"culture; festivals; traditions";Culture & Society;Kwanzaa;Kwanzaa
YDS Set 002;106-Land Use (Arazi Kullanımı);B1;"environment; geography; urban planning";Travel & Geography;Land Use;Arazi Kullanımı
YDS Set 002;107-Lanzarote (Lanzarote);B1;"geography; environment; tourism";Travel & Geography;Lanzarote;Lanzarote
YDS Set 002;108-Left-Handedness (Solaklık);B1;"biology; society; psychology";Biology & Animals;Left-Handedness;Solaklık
YDS Set 002;109-Liberia Health Sector (Liberya Sağlık Sektörü);B1;"health; post-war; Liberia";Psychology & Health;Liberia Health Sector;Liberya Sağlık Sektörü
YDS Set 002;110-Life on Mars (Mars'ta Yaşam);B1;"astronomy; science; space";Astronomy & Space;Life on Mars;Mars'ta Yaşam
YDS Set 002;111-Maisie's Amazing Menagerie (Maisie'nin İnanılmaz Hayvan Koleksiyonu);B1;"animals; pets; news";Biology & Animals;Maisie's Amazing Menagerie;Maisie'nin İnanılmaz Hayvan Koleksiyonu
YDS Set 002;112-Making Your Workplace Safer (İşyerinizi Daha Güvenli Yapmak);B1;"work; safety; health";Work & Career Advice;Making Your Workplace Safer;İşyerinizi Daha Güvenli Yapmak
YDS Set 002;113-Marketing (Pazarlama);B1;"business; marketing; advertising";Economics & Business;Marketing;Pazarlama
YDS Set 002;114-Modern Medicine (Modern Tıp);B1;"health; medicine; technology";Health & Medicine;Modern Medicine;Modern Tıp
YDS Set 002;115-Nelson Mandela: A Life of Freedom (Nelson Mandela: Özgürlük Dolu Bir Hayat);B1;"biography; history; politics";History;Nelson Mandela: A Life of Freedom;Nelson Mandela: Özgürlük Dolu Bir Hayat
YDS Set 002;116-Niagara (Niagara);B1;"tourism; nature; usa";Environment & Nature;Niagara;Niagara
YDS Set 002;117-Pandas (Pandalar);B1;"animals; nature; biology";Biology & Animals;Pandas;Pandalar
YDS Set 002;118-Parachuting (Paraşütle Atlama);B1;"sport; adventure; training";Sports;Parachuting;Paraşütle Atlama
YDS Set 002;119-Paragliding (Yamaç Paraşütü);B1;"sports; extreme sports; paragliding";Sports;Paragliding;Yamaç Paraşütü
YDS Set 002;120-Pompeii (Pompei);B1;"history; volcano; disaster";History;Pompeii;Pompei
YDS Set 002;121-Radiation Pills for Families (Aileler İçin Radyasyon Önleyici Haplar);B1;"health; nuclear; safety";Work & Career Advice;Radiation Pills for Families;Aileler İçin Radyasyon Önleyici Haplar
YDS Set 002;122-Ramadan Sharing (Ramazan Paylaşımı);B1;"religion; culture; brotherhood";Religion & Belief;Ramadan Sharing;Ramazan Paylaşımı
YDS Set 002;123-Ramadan Spirit (Ramazan Ruhu);B1;"religion; culture; Turkey";Culture & Society;Ramadan Spirit;Ramazan Ruhu
YDS Set 002;124-Role Model (Rol Model);B1;"biography; inspiration";History;Role Model;Rol Model
YDS Set 002;125-Sharks (Köpekbaliklari);B1;"animals; ocean; biology";Biology & Animals;Sharks;Köpekbaliklari
YDS Set 002;126-Spare a tear for Argentina (Arjantin için bir gözyaşı dökün);B1;"argentina; economy; crisis";Culture & Society;Spare a tear for Argentina;Arjantin için bir gözyaşı dökün
YDS Set 002;127-Speed Kills (Hız Öldürür);B1;"society; transport; safety";Transportation & Vehicles;Speed Kills;Hız Öldürür
YDS Set 002;128-Speed Limit (Hız Limiti);B1;"traffic; safety; law";Transportation & Vehicles;Speed Limit;Hız Limiti
YDS Set 002;129-Staying Underwater (Sualtında Kalmak);B1;"history; invention; diving";History;Staying Underwater;Sualtında Kalmak
YDS Set 002;130-Telescope Sites (Teleskop Yerleri);B1;"science; astronomy; space";Astronomy & Space;Telescope Sites;Teleskop Yerleri
YDS Set 002;131-The Apple: A Journey from Central Asia to the World (Elma: Orta Asya'dan Dünyaya Bir Yolculuk);B1;"food; history; agriculture";Food & Agriculture;The Apple: A Journey from Central Asia to the World;Elma: Orta Asya'dan Dünyaya Bir Yolculuk
YDS Set 002;132-The Arctic Fox (Kutup Tilkisi);B1;"animals; nature; arctic";Biology & Animals;The Arctic Fox;Kutup Tilkisi
YDS Set 002;133-The Australian Aborigines (Avustralya Aborijinleri);B1;"history; culture; society";Culture & Society;The Australian Aborigines;Avustralya Aborijinleri
YDS Set 002;134-The Common Cold (Soğuk Algınlığı);B1;"health; medicine; disease";Health & Medicine;The Common Cold;Soğuk Algınlığı
YDS Set 002;135-The Concept of Martyrdom (Şehitlik Kavramı);B1;"religion; culture; ethics";Religion & Belief;The Concept of Martyrdom;Şehitlik Kavramı
YDS Set 002;136-The Egyptian Pyramids (Mısır Piramitleri);B1;"history; archaeology; culture";History;The Egyptian Pyramids;Mısır Piramitleri
YDS Set 002;137-The Egyptian Pyramids: Tombs of the Pharaohs (Mısır Piramitleri: Firavunların Mezarları);B1;"history; ancient egypt; architecture";History;The Egyptian Pyramids: Tombs of the Pharaohs;Mısır Piramitleri: Firavunların Mezarları
YDS Set 002;138-The Healing Power of Music (Müziğin İyileştirici Gücü);B1;"health; music; therapy";Psychology & Health;The Healing Power of Music;Müziğin İyileştirici Gücü
YDS Set 002;139-The High-flyer (Yüksekten Uçan);B1;"sports; extreme sports; BASE jumping";Sports;The High-flyer;Yüksekten Uçan
YDS Set 002;140-The Importance of Rainforests (Yağmur Ormanlarının Önemi);B1;"nature; environment; ecology";Environment & Nature;The Importance of Rainforests;Yağmur Ormanlarının Önemi
YDS Set 002;141-The Meaning and Practice of Qurbani (Kurban'ın Anlamı ve Uygulanışı);B1;"religion; islam; culture";Religion & Belief;The Meaning and Practice of Qurbani;Kurban'ın Anlamı ve Uygulanışı
YDS Set 002;142-The Milky Way (Samanyolu);B1;"astronomy; science; space";Astronomy & Space;The Milky Way;Samanyolu
YDS Set 002;143-The Mystery of Sleep (Uykunun Gizemi);B1;"biology; psychology; health";Psychology & Health;The Mystery of Sleep;Uykunun Gizemi
YDS Set 002;144-The Olympics (Olimpiyatlar);B1;"history; sports; Olympics";Sports;The Olympics;Olimpiyatlar
YDS Set 002;145-The Origins of the Moon (Ay'ın Kökenleri);B1;"astronomy; science; space";Astronomy & Space;The Origins of the Moon;Ay'ın Kökenleri
