en_word;tr_meaning;pos;example_en;example_tr;synonyms_raw;antonyms_raw;level;tags_raw;notes
abject;sefil, acınası, gurursuz;adj.;Millions of refugees in the war-torn country are currently living in abject poverty.;Savaşın parçaladığı ülkede milyonlarca mülteci şu anda acınası (sefil) bir yoksulluk içinde yaşıyor.;"wretched; miserable; hopeless";"exalted; proud; magnificent";C2;society & social issues;Sosyoloji metinlerinde 'poverty' (yoksulluk) ve 'failure' (başarısızlık) kelimelerini niteleyen çok güçlü bir sıfattır.
abjure;resmen vazgeçmek, reddetmek;v.;The government pledged to abjure the use of torture under all circumstances.;Hükümet, her koşulda işkence kullanımından vazgeçeceğini taahhüt etti.;;;C2;law & justice;
ablation;ablasyon, çıkarma veya aşındırma;n.;Debate over ablation intensified as concerns about patient outcomes grew during the first year of implementation.;hasta sonuçları konusundaki kaygılar arttıkça ablasyon tartışması uygulamanın ilk yılında yoğunlaştı.;;;C1;medicine & health;
able;yapabilir;adj.;Although the task was very challenging, she was able to complete it before the deadline.;Görev çok zorlu olmasına rağmen, onu son teslim tarihinden önce tamamlayabildi.;"capable; competent";"unable; incapable";A2;academic & general;
ablution;dini yıkanma, abdest;n.;Before entering the sacred inner sanctum of the temple, the worshippers must perform a ritual ablution.;Tapınağın kutsal iç mabedine girmeden önce, tapanlar ritüel bir yıkanma (abdest) gerçekleştirmelidir.;"purification; cleansing; washing";"pollution; contamination; defilement";C2;culture & customs;Tarih ve antropoloji metinlerinde dini ritüelleri anlatırken kullanılan spesifik akademik kelime.
abnegate;feragat etmek, vazgeçmek;v.;The new policy will not abnegate the fundamental rights of citizens, despite concerns raised by civil liberties groups.;Yeni politika, sivil özgürlük gruplarının endişelerine rağmen vatandaşların temel haklarından feragat etmeyecektir.;"renounce; relinquish; abdicate";"retain; keep; claim";C2;government & politics;YDS'de 'renounce' ile eş anlamlı olarak ve 'rights' ile birlikte kullanılabilir. Karşıtı 'retain' veya 'claim' ile kıyaslanabilir. Paragrafta 'despite' ile birlikte gelebilir.
abnegation;feragat, özveri, nefsi köreltme;n.;Ascetic monks practice strict abnegation of worldly possessions to achieve transcendent enlightenment.;Çileci keşişler, aşkın bir aydınlanmaya ulaşmak için dünyevi mülklerden feragat etmeyi sıkı bir şekilde uygularlar.;"renunciation; self-denial; surrender";"indulgence; hedonism; self-gratification";C2;"academic & general;ethics & values";Felsefe, ahlak ve dinler tarihi metinlerinde geçer.
aboard;içinde (gemi/uçak);prep.;Once everyone was safely aboard the ship, it slowly began to leave the harbor.;Herkes gemiye güvenli bir şekilde bindikten sonra, gemi yavaşça limandan ayrılmaya başladı.;"on board; onto";off;B2;transportation & traffic;
abolish;yürürlükten kaldırmak, feshetmek;v.;Parliament voted to abolish the outdated licensing system after an independent review found that it imposed unnecessary costs on small businesses.;Bağımsız bir inceleme sistemin küçük işletmelere gereksiz maliyet yüklediğini belirleyince parlamento eski lisans düzenini kaldırmak için oy kullandı.;"eliminate; end; cancel";"establish; create; retain";B2;academic & general;Bir sistemi, uygulamayı veya yasayı resmen sona erdirmek.
abolished;yürürlülükten kalkmış;adj.;The old law has been abolished.;Eski yasa kaldırıldı.;"ended; terminated; nullified";"established; in force";B2;academic & general;
abolition;"kaldırılma; yürürlükten kaldırma; ilga";n.;The abolition of the slave trade was a historic milestone for humanity.;Köle ticaretinin kaldırılması insanlık için tarihi bir dönüm noktasıydı.;"eradication; nullification; revocation";"establishment; retention";C1;history & archaeology;Bir uygulamanın veya kurumun resmen sona erdirilmesi.
abolitionist;iptal etme taraftarı;n.;The abolitionists fought to end slavery.;Kölelik karşıtları köleliği bitirmek için savaştı.;"opponent; campaigner; activist";"supporter; advocate";C1;academic & general;
abominate;nefret etmek, iğrenmek;v.;True defenders of human rights absolutely abominate any form of racial or gender discrimination.;Gerçek insan hakları savunucuları, her türlü ırk veya cinsiyet ayrımcılığından kesinlikle nefret eder (iğrenir).;"loathe; detest; despise";"adore; cherish; admire";C2;ethics & values;"'Hate' kelimesinin en üst düzey ve en şiddetli versiyonudur; ahlaki bir tiksintiyi ifade eder."
abomination;iğrençlik, tiksinti verici şey;n.;The dictator's brutal regime and its crimes against humanity were an abomination that shocked the entire world.;Diktatörün vahşi rejimi ve insanlığa karşı işlediği suçlar, tüm dünyayı şok eden bir iğrençlikti.;"atrocity; outrage; horror";"delight; blessing";C1;academic & general;
aborigine;yerli, aborijin;n.;The aborigines of Australia have a rich cultural heritage that includes unique art, music, and spiritual beliefs.;Avustralya Aborijinleri, kendine özgü sanat, müzik ve manevi inançları içeren zengin bir kültürel mirasa sahiptir.;"native; indigenous person";"settler; immigrant";B2;people & identity;
abort;"iptal etmek, yarıda kesmek, sonlandırmak; kürtaj yapmak, kürtaj yaptırmak, çocuk düşürmek";v.;Engineers chose to abort the launch when a sensor detected an unexpected rise in temperature near the fuel system.;Bir sensör yakıt sistemi yakınında beklenmedik bir sıcaklık artışı tespit edince mühendisler fırlatmayı yarıda kesmeyi seçti.;"cancel; terminate; stop";"complete; continue; proceed";C1;academic & general;
abortion;"kürtaj, bebek aldırma; çocuk düşürme";n.;Access to safe abortion remains a contentious public-health issue in countries where legal restrictions vary widely between regions.;Güvenli kürtaja erişim, yasal kısıtlamaların bölgeler arasında büyük farklılık gösterdiği ülkelerde tartışmalı bir halk sağlığı konusu olmaya devam etmektedir.;"termination; miscarriage";birth;B2;academic & general;
abound with;ile bolca bulunmak, ile dolu olmak;phr. v.;In the longitudinal study, the newly inaugurated research hub appears to abound with visionary initiatives addressing renewable energy.;Boylamsal çalışmada, yeni açılan araştırma merkezi, yenilenebilir enerjiyi ele alan vizyoner girişimlerle dolup taşıyor gibi görünüyor.;"brim with; overflow with; teem with";"lack; be devoid of; drain";B2;research & science;
about;hakkında;prep.;The professor gave a fascinating lecture about the economic consequences of climate change in developing nations.;Profesör, gelişmekte olan ülkelerde iklim değişikliğinin ekonomik sonuçları hakkında büyüleyici bir ders verdi.;"regarding; concerning; on";;B1;academic & general;
above;üstünde;prep.;Temperatures above 40 degrees Celsius are becoming more frequent in cities where dense construction traps heat overnight.;Yoğun yapılaşmanın gece boyunca ısıyı hapsettiği şehirlerde 40 santigrat derecenin üzerindeki sıcaklıklar giderek daha sık görülmektedir.;"over; higher than";below;B1;academic & general;
above level;üzerinde, yukarısında;phrase;The water is above the normal level.;Su normal seviyenin üzerinde.;"over; higher than";below level;B1;measurement & quantity;
abrasion;aşınma, sürtünmeyle aşınma;n.;The researchers compared patterns of abrasion with changes in operational reliability after the initial assumptions were revised.;Araştırmacılar, aşınma örüntülerini işletme güvenilirliği alanındaki değişimlerle ilk varsayımlar gözden geçirildikten sonra karşılaştırdı.;;;C1;engineering;
abroad;yurt dışı;adv.;She studied abroad for two years before returning home.;Eve dönmeden önce iki yıl yurt dışında eğitim gördü.;overseas;locally;A2;academic & general;
abrogate;yürürlükten kaldırmak, feshetmek;v.;The new administration moved to abrogate the outdated treaty after parliament approved the proposal.;Yeni yönetim, parlamento öneriyi onayladıktan sonra eski antlaşmayı yürürlükten kaldırmak için harekete geçti.;;;C1;law & justice;
abrogation;"yürürlükten kaldırma; ilga";n.;The sudden abrogation of the trade agreement caused severe economic instability in both nations.;Ticaret anlaşmasının ani yürürlükten kaldırılması her iki ulusta da şiddetli ekonomik istikrarsızlığa neden oldu.;"annulment; repeal; revocation";"enactment; establishment; ratification";C1;"international relations;law & justice";YDS'de yasa veya antlaşmaların feshedilmesi bağlamında 'cancellation' yerine kullanılan C1 isimdir.
abrupt;ani, aniden, birdenbire oluveren;adj.;The abrupt decline in rainfall left farmers with little time to adjust their planting schedules or secure alternative water supplies.;Yağışlardaki ani düşüş, çiftçilere ekim takvimlerini ayarlamak veya alternatif su kaynakları bulmak için çok az zaman bıraktı.;"sudden; unexpected; hasty";"gradual; expected; slow";B2;academic & general;Beklenmedik ve hızlı bir şekilde gerçekleşen.
abruptly;birdenbire, ansızın, aniden;adv.;Negotiations ended abruptly after the two sides failed to agree on how the reconstruction costs should be shared.;İki taraf yeniden inşa maliyetlerinin nasıl paylaşılacağı konusunda anlaşamayınca görüşmeler aniden sona erdi.;"suddenly; sharply; unexpectedly";"gradually; slowly; expectedly";B2;academic & general;Beklenmedik ve ani bir şekilde.
abscond;kaçmak, gizlice uzaklaşmak;v.;The suspect tried to abscond with company funds before investigators froze the accounts.;Şüpheli, müfettişler hesapları dondurmadan önce şirket fonlarıyla kaçmaya çalıştı.;;;C1;crime & security;
absence;bulunmama, bulunmayış, eksiklik, yokluk;n.;In the absence of reliable public transport, many residents depend on private cars even for relatively short journeys.;Güvenilir toplu taşımanın yokluğunda birçok kişi nispeten kısa yolculuklar için bile özel araçlara bağımlı kalmaktadır.;;;C1;academic & general;
absent;mevcut olmayan;adj.;Several key variables were absent from the original model, which explains why its early forecasts proved inaccurate.;"İlk modelde bazı temel değişkenler yoktu; bu durum, erken dönem tahminlerinin neden hatalı çıktığını açıklamaktadır.";"missing; away";present;B1;academic & general;
absolute;"tam; kesin";adj.;The constitution does not grant the executive absolute authority, because major decisions remain subject to judicial and parliamentary review.;"Anayasa yürütmeye mutlak yetki vermez; çünkü önemli kararlar yargı ve parlamento denetimine tabi olmaya devam eder.";"complete; total; utter";"partial; limited";B2;probability & certainty;
absolute advantage;mutlak üstünlük;n.;A producer has an absolute advantage when it can make a product with fewer resources than its competitors.;Bir üretici, rakiplerinden daha az kaynakla ürün üretebildiğinde mutlak üstünlüğe sahiptir.;;;C1;economics;
absolutely;kesinlikle, mutlaka, tamamen, mutlak surette;adv.;The treatment is absolutely necessary for patients whose immune systems cannot control the infection without medical support.;Bağışıklık sistemi enfeksiyonu tıbbi destek olmadan kontrol edemeyen hastalar için bu tedavi kesinlikle gereklidir.;;;C1;probability & certainty;
absolutism;mutlakiyetçilik;n.;Researchers assessed the implications of absolutism for historical interpretation under conditions of prolonged uncertainty.;Araştırmacılar, mutlakiyetçilik unsurunun tarihsel yorum açısından sonuçlarını uzun süren belirsizlik koşullarında değerlendirdi.;;;C1;history & archaeology;
absolutist;mutlakiyetçi, tavizsiz mutlak ilkeye bağlı;adj.;The study documented a n absolutist policy framework after the revised rules took effect.;Çalışma, yeni kurallar yürürlüğe girdikten sonra mutlakiyetçi bir politika çerçevesi belgeledi.;;;C1;government & politics;
absolve;günahlarından arındırmak, temize çıkarmak;v.;The newly discovered DNA evidence will entirely absolve the suspect of all murder charges.;Yeni keşfedilen DNA kanıtı, şüpheliyi tüm cinayet suçlamalarından tamamen temize çıkaracaktır.;"exonerate; acquit; vindicate; clear";"condemn; convict; incriminate; blame";C1;"law & justice;crime & security";Hukuk metinlerinde 'acquit' ve 'exonerate' ile birlikte suçsuz bulunma bağlamında kullanılır ('of' edatı alır).
absorb;emmek, soğurmak;v.;Dark surfaces absorb more solar radiation than light ones, which is why asphalt can become extremely hot on summer afternoons.;"Koyu yüzeyler açık renkli yüzeylere göre daha fazla güneş ışınımı soğurur; bu nedenle asfalt yaz öğleden sonralarında aşırı ısınabilir.";"soak up; take in";"expel; release";B2;academic & general;
absorbent;emici, özümseyen;adj.;He has a very absorbent mind and can quickly grasp new and complex concepts with ease, much to the envy of his classmates.;Sınıf arkadaşlarının kıskandığı kadar, çok emici bir zihne sahiptir ve yeni, karmaşık kavramları kolaylıkla hızla kavrayabilir.;"receptive; sponge-like; permeable";"impermeable; non-absorbent";B2;academic & general;
absorption;emme, içine çekme;n.;Poor iron absorption can occur even when the diet contains enough iron, particularly in people with certain digestive disorders.;Beslenmede yeterli demir bulunsa bile, özellikle bazı sindirim bozuklukları olan kişilerde demir emilimi yetersiz olabilir.;"soaking up; taking in; assimilation";"release; emission";B2;academic & general;
absorptivity;emicilik, ışınımı soğurma yeteneği;n.;The findings showed that absorptivity deserved closer attention when evaluating the physical response as the project entered its final phase.;Bulgular, fiziksel tepki değerlendirilirken emicilik konusunun proje son aşamasına girerken daha yakından ele alınması gerektiğini gösterdi.;;;C2;physics & astronomy;
abstain;kaçınmak, uzak durmak;v.;Delegates who disagreed with both proposals chose to abstain rather than support a compromise they considered ineffective.;Her iki öneriye de katılmayan delegeler, etkisiz buldukları bir uzlaşmayı desteklemek yerine çekimser kalmayı seçti.;"refrain; desist; forgo";"indulge; partake";C1;academic & general;
abstain from;---den kaçınmak, uzak durmak;phr. v.;You must abstain from alcohol.;Alkolden kaçınmalısınız.;"refrain from; avoid";indulge in;B2;academic & general;
abstemious;ölçülü, özellikle yeme içmede tutumlu;adj.;The analysis revealed a n abstemious behavioral style that affected interpersonal behavior while the broader environment was changing.;Analiz, kişiler arası davranış üzerinde etkili olan daha geniş çevre değişirken ölçülü bir davranış biçimi ortaya koydu.;;;C2;personality & behavior;
abstention;çekimserlik, kaçınma;n.;The high rate of abstention in the election surprised political analysts.;Seçimdeki yüksek çekimserlik oranı siyasi analistleri şaşırttı.;"non-participation; refusal; forbearance";"participation; indulgence";C1;government & politics;Seçim veya oylama metinlerinde sık kullanılır. 'Refusal' ile eş anlamlıdır.
abstinence;perhiz, uzak durma, sakınma, nefis terbiyesi;n.;The doctor recommended complete abstinence from alcohol for at least six months following the surgery.;Doktor, ameliyat sonrası en az altı ay boyunca alkolden tamamen uzak durulmasını tavsiye etti.;"sobriety; continence; abstemiousness";"indulgence; excess; intemperance";C1;medicine & health;Bir şeyden (genellikle yemek, içki veya cinsellikten) kendi isteğiyle uzak durma durumu. 'Sobriety' özellikle alkol için kullanılır. 'Indulgence' zıt anlamlıdır.
abstract;"soyut; özet; soyut sanat eseri";"n.;adj.";Although the theory may seem abstract, its principles have practical applications in fields ranging from cryptography to network design.;Kuram soyut görünebilse de ilkeleri kriptografiden ağ tasarımına kadar uzanan alanlarda pratik uygulamalara sahiptir.;"theoretical; conceptual; summary; nonrepresentational";"concrete; specific; actual";B2;art & design;Somut olarak var olmayan, düşünceye dayalı.
abstraction;soyutlama;n.;The investigation drew attention to abstraction because of its effect on the final outcome in the most demanding operating conditions.;Soruşturma, soyutlama unsurunun nihai sonuç üzerindeki etkisine en zorlayıcı işletme koşullarında dikkat çekti.;;;C1;academic & general;
abstruse;anlaşılması güç, derin ve karmaşık;adj.;The project encountered a n abstruse approach that required closer attention before the final evaluation was completed.;Proje, nihai değerlendirme tamamlanmadan önce daha yakından incelenmesi gereken anlaşılması güç bir yaklaşım ile karşılaştı.;;;C2;academic & general;
absurd;saçma, mantıksız;adj.;It would be absurd to assess a century of climate change using temperature measurements collected during a single unusually cold winter.;Bir yüzyıllık iklim değişikliğini, olağandışı derecede soğuk tek bir kışta toplanan sıcaklık ölçümleriyle değerlendirmek saçma olurdu.;"ridiculous; foolish; ludicrous";"sensible; logical";B2;academic & general;
absurdity;saçmalık, absürtlük;n.;The absurdity of the situation made everyone laugh.;Durumun saçmalığı herkesi güldürdü.;"ridiculousness; irrationality; preposterousness";"sanity; logic; reasonableness";B2;academic & general;'Absurd' kelimesinin isim hali. YDS'de 'ridiculousness' ile eş anlamlı olarak sorulabilir.
abundance;bolluk;n.;The region's abundance of freshwater enabled agriculture to expand even during prolonged periods of drought.;Bölgedeki tatlı su bolluğu, uzun süren kuraklık dönemlerinde bile tarımın genişlemesini sağladı.;"plenty; wealth; profusion";"scarcity; lack";B2;academic & general;
abundant;bol, bereketli;adj.;Abundant archaeological evidence suggests that the valley supported permanent settlements long before the emergence of large urban centres.;Bol miktardaki arkeolojik kanıt, vadinin büyük kent merkezleri ortaya çıkmadan çok önce kalıcı yerleşimleri barındırdığını göstermektedir.;"plentiful; rich";"scarce; rare";C1;academic & general;
abundantly;bolca;adv.;The plant grows abundantly in this climate.;Bitki bu iklimde bolca yetişir.;"plentifully; copiously; richly";"scarcely; rarely";B2;academic & general;
abuse;istismar etmek, kötüye kullanmak;v.;Stronger oversight is needed to prevent the abuse of personal data collected through mobile applications and online platforms.;Mobil uygulamalar ve çevrim içi platformlar aracılığıyla toplanan kişisel verilerin kötüye kullanılmasını önlemek için daha güçlü denetime ihtiyaç vardır.;"misuse; mistreat; exploit";"respect; protect";B2;crime & security;
abusive;"kötü muamele eden; taciz edici";adj.;The referee sent him off for using abusive language.;Hakem, küfürlü konuştuğu için onu oyundan attı.;"insulting; offensive; harmful";"respectful; kind";B2;crime & security;
abysmal;berbat, çok kötü, içler acısı;adj.;The living conditions in the overcrowded refugee camp were absolutely abysmal.;Aşırı kalabalık mülteci kampındaki yaşam koşulları kesinlikle berbat bir haldeydi.;"deplorable; appalling; atrocious; dreadful";"splendid; excellent; admirable";B2;"society & social issues;comparison & evaluation";Çok düşük kalite veya standartları tanımlar. 'Deplorable' ve 'appalling' ile güçlendirilebilir. 'Splendid' zıt anlamlıdır. Okuma parçalarında olumsuz durumları vurgulamak için kullanılır.
academic;Akademik;adj.;She has a very successful academic career in the field of molecular biology.;Moleküler biyoloji alanında çok başarılı bir akademik kariyeri var.;"scholarly; educational; intellectual";"non-academic; practical";B1;education & learning;Eğitim ve araştırma ile ilgili her şey için kullanılır.
accede;"kabul etmek, katılmak; göreve gelmek";v.;The government eventually acceded to the inspectors' request for unrestricted access to the disputed facility.;Hükümet sonunda müfettişlerin tartışmalı tesise sınırsız erişim talebini kabul etti.;"consent; agree; assent";"refuse; reject; dissent";C1;"international relations;law & justice";Özellikle 'accede to a request/demand' yapısıyla diplomasi ve hukuk pasajlarında görülür.
accelerate;hızlandırmak;v.;Warmer ocean temperatures can accelerate the loss of polar ice by increasing both surface melting and the movement of glaciers.;Daha sıcak okyanus sıcaklıkları hem yüzey erimesini hem de buzulların hareketini artırarak kutup buzlarının kaybını hızlandırabilir.;"speed up; quicken; hasten";"decelerate; slow down";B2;academic & general;
accelerated;hızlandırılmış, ivmeli;adj.;The accelerated pace of technological change has transformed many industries.;Teknolojik değişimin hızlandırılmış temposu birçok sektörü dönüştürdü.;"expedited; hastened; quickened";"decelerated; slowed; retarded";C1;change & development;'Accelerate' fiilinin sıfat hali. 'Expedited' ile eş anlamlıdır. Zıttı 'decelerated' olup, gelişme ve değişim metinlerinde sık geçer.
accelerator;Gaz Pedalı;n.;He pressed the accelerator hard, and the sports car shot forward.;Gaza sertçe bastı ve spor araba ileri fırladı.;"throttle; gas pedal";brake;B1;"chemistry & materials;energy & resources;transportation & traffic";Araçlarda hızı artırmak için kullanılan pedal.
accent;"Şive; Aksan";n.;Her regional accent became less noticeable after years abroad, although certain vowel sounds still revealed where she had grown up.;"Yıllarca yurt dışında yaşadıktan sonra bölgesel aksanı daha az belirginleşti; ancak bazı ünlü sesler nerede büyüdüğünü hâlâ ele veriyordu.";"pronunciation; intonation; dialect";;A2;language & linguistics;Bir dilin konuşulma biçimindeki bölgesel veya sosyal farklılık.
accentuate;"vurgulamak; belirtmek";v.;The dramatic lighting in the museum was designed to accentuate the intricate details of the ancient sculpture.;Müzedeki dramatik aydınlatma antik heykelin karmaşık detaylarını vurgulamak için tasarlanmıştı.;"highlight; emphasize; underscore";"downplay; minimize; obscure";C1;"art & design;communication & media";Sınavlarda 'emphasize' yerine geçebilen, bir özelliği ön plana çıkarmayı niteleyen C1 fiildir.
accept;kabul etmek;v.;Many patients are reluctant to accept a diagnosis until the physician explains how the symptoms fit the available clinical evidence.;Doktor belirtilerin mevcut klinik kanıtlarla nasıl örtüştüğünü açıklayana kadar birçok hasta tanıyı kabul etmekte isteksiz davranır.;"receive; agree; take";"refuse; reject; decline";A2;academic & general;
acceptability;kabul edilebilirlik;n.;The acceptability of the proposal is in doubt.;Teklifin kabul edilebilirliği şüpheli.;"suitability; appropriateness; admissibility";unacceptability;C1;academic & general;
acceptable;kabul edilebilir;adj.;A temporary reduction in output may be acceptable if it prevents permanent damage to equipment during periods of extreme demand.;Geçici üretim azalması, aşırı talep dönemlerinde ekipmanın kalıcı olarak zarar görmesini önlüyorsa kabul edilebilir olabilir.;"satisfactory; admissible";"unacceptable; unsatisfactory";B1;academic & general;
acceptably;kabul edilebilir şekilde;adv.;The food was acceptably good.;Yemek kabul edilebilir derecede iyiydi.;"satisfactorily; adequately; suitably";unacceptably;C1;academic & general;
acceptance;kabul, alma;n.;Her acceptance of the award was gracious.;Ödülü kabulü zarifti.;"approval; reception; agreement";"refusal; rejection";B1;academic & general;
accepted;kabul edilmiş, kabul görmüş;adj.;It is a widely accepted fact.;Bu geniş çapta kabul görmüş bir gerçektir.;"recognized; acknowledged; approved";"unaccepted; rejected";B2;academic & general;
access;erişim, ulaşım;n.;Rural schools often struggle to provide students with reliable access to laboratories, libraries, and high-speed internet.;Kırsal bölgelerdeki okullar, öğrencilere laboratuvarlara, kütüphanelere ve yüksek hızlı internete güvenilir erişim sağlamakta çoğu zaman zorlanır.;"entry; admission";"exclusion; exit";B1;transportation & traffic;
access control;erişim kontrolü;n.;Strict access control limited sensitive files to authorized employees.;Sıkı erişim kontrolü hassas dosyaları yetkili çalışanlarla sınırladı.;;;C1;technology & it;
access to;erişim;n.;Students have access to the library.;Öğrencilerin kütüphaneye erişimi var.;"entry to; admission to";no access to;B1;academic & general;
