en_word;tr_meaning;pos;example_en;example_tr;synonyms_raw;antonyms_raw;level;tags_raw;notes
abide;katlanmak;v.;I have to admit that I simply cannot abide people who are indecisive and cannot make up their minds about anything.;Kabul etmeliyim ki, kararsız olan ve hiçbir şey hakkında karar veremeyen insanlara kesinlikle katlanamıyorum.;"tolerate; endure";"reject; avoid";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abide by;-e uymak, bağlı kalmak;phr. v.;All participating laboratories must abide by the same safety protocol before they are permitted to handle the experimental material.;Katılımcı tüm laboratuvarlar, deneysel malzemeyi kullanmalarına izin verilmeden önce aynı güvenlik protokolüne uymak zorundadır.;"obey; follow";violate;B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
ability;yetenek, kabiliyet;n.;The ability to distinguish reliable evidence from persuasive rhetoric has become essential in an environment saturated with online information.;Güvenilir kanıtı ikna edici retorikten ayırt etme yeteneği, çevrim içi bilgiyle dolu bir ortamda temel hâle gelmiştir.;"capability; talent; competence";"inability; incapacity";B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
able;yapabilir;adj.;Although the task was very challenging, she was able to complete it before the deadline.;Görev çok zorlu olmasına rağmen, onu son teslim tarihinden önce tamamlayabildi.;"capable; competent";"unable; incapable";A2;academic_general;Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
aboard;içinde (gemi/uçak);prep.;Once everyone was safely aboard the ship, it slowly began to leave the harbor.;Herkes gemiye güvenli bir şekilde bindikten sonra, gemi yavaşça limandan ayrılmaya başladı.;"on board; onto";off;B2;transportation_traffic;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abolish;yürürlükten kaldırmak, feshetmek;v.;Parliament voted to abolish the outdated licensing system after an independent review found that it imposed unnecessary costs on small businesses.;Bağımsız bir inceleme sistemin küçük işletmelere gereksiz maliyet yüklediğini belirleyince parlamento eski lisans düzenini kaldırmak için oy kullandı.;"eliminate; end; cancel";"establish; create; retain";B2;academic_general;Bir sistemi, uygulamayı veya yasayı resmen sona erdirmek.
abolished;yürürlülükten kalkmış;adj.;"The old law has been abolished. The broader context clarifies how ""abolished"" is used in natural English.";"Eski yasa kaldırıldı. Ek bağlam, ""abolished"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"ended; terminated; nullified";"established; in force";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abolition;Kaldırmak;n.;The abolition of the slave trade was a historic milestone for humanity.;Köle ticaretinin kaldırılması insanlık için tarihi bir dönüm noktasıydı.;"eradication; nullification; revocation";"establishment; retention";C1;history_archaeology;Bir uygulamanın veya kurumun resmen sona erdirilmesi.
abolitionist;iptal etme taraftarı;n.;"The abolitionists fought to end slavery. The broader context clarifies how ""abolitionist"" is used in natural English.";"Kölelik karşıtları köleliği bitirmek için savaştı. Ek bağlam, ""abolitionist"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"opponent; campaigner; activist";"supporter; advocate";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abomination;iğrençlik, tiksinti verici şey;n.;The dictator's brutal regime and its crimes against humanity were an abomination that shocked the entire world.;Diktatörün vahşi rejimi ve insanlığa karşı işlediği suçlar, tüm dünyayı şok eden bir iğrençlikti.;"atrocity; outrage; horror";"delight; blessing";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
aborigine;yerli, aborijin;n.;The aborigines of Australia have a rich cultural heritage that includes unique art, music, and spiritual beliefs.;Avustralya Aborijinleri, kendine özgü sanat, müzik ve manevi inançları içeren zengin bir kültürel mirasa sahiptir.;"native; indigenous person";"settler; immigrant";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abort;"iptal etmek, yarıda kesmek, sonlandırmak; kürtaj yapmak, kürtaj yaptırmak, çocuk düşürmek";v.;Engineers chose to abort the launch when a sensor detected an unexpected rise in temperature near the fuel system.;Bir sensör yakıt sistemi yakınında beklenmedik bir sıcaklık artışı tespit edince mühendisler fırlatmayı yarıda kesmeyi seçti.;"cancel; terminate; stop";"complete; continue; proceed";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abortion;"kürtaj, bebek aldırma; çocuk düşürme";n.;Access to safe abortion remains a contentious public-health issue in countries where legal restrictions vary widely between regions.;Güvenli kürtaja erişim, yasal kısıtlamaların bölgeler arasında büyük farklılık gösterdiği ülkelerde tartışmalı bir halk sağlığı konusu olmaya devam etmektedir.;"termination; miscarriage";birth;B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
about;hakkında;prep.;The professor gave a fascinating lecture about the economic consequences of climate change in developing nations.;Profesör, gelişmekte olan ülkelerde iklim değişikliğinin ekonomik sonuçları hakkında büyüleyici bir ders verdi.;"regarding; concerning; on";;B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
above;üstünde;prep.;Temperatures above 40 degrees Celsius are becoming more frequent in cities where dense construction traps heat overnight.;Yoğun yapılaşmanın gece boyunca ısıyı hapsettiği şehirlerde 40 santigrat derecenin üzerindeki sıcaklıklar giderek daha sık görülmektedir.;"over; higher than";below;B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
above level;üzerinde, yukarısında;phr. v.;"The water is above the normal level. The broader context clarifies how ""above level"" is used in natural English.";"Su normal seviyenin üzerinde. Ek bağlam, ""above level"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"over; higher than";below level;B1;measurement_quantity;Orta seviye kelime. Genel iletişimde kullanılır.
abroad;yurt dışı;adv.;She studied abroad for two years before returning home.;Eve dönmeden önce iki yıl yurt dışında eğitim gördü.;overseas;locally;A2;academic_general;Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
abrupt;ani, aniden, birdenbire oluveren;adj.;The abrupt decline in rainfall left farmers with little time to adjust their planting schedules or secure alternative water supplies.;Yağışlardaki ani düşüş, çiftçilere ekim takvimlerini ayarlamak veya alternatif su kaynakları bulmak için çok az zaman bıraktı.;"sudden; unexpected; hasty";"gradual; expected; slow";B2;academic_general;Beklenmedik ve hızlı bir şekilde gerçekleşen.
abruptly;birdenbire, ansızın, aniden;adv.;Negotiations ended abruptly after the two sides failed to agree on how the reconstruction costs should be shared.;İki taraf yeniden inşa maliyetlerinin nasıl paylaşılacağı konusunda anlaşamayınca görüşmeler aniden sona erdi.;"suddenly; sharply; unexpectedly";"gradually; slowly; expectedly";B2;academic_general;Beklenmedik ve ani bir şekilde.
absent;mevcut olmayan;adj.;Several key variables were absent from the original model, which explains why its early forecasts proved inaccurate.;"İlk modelde bazı temel değişkenler yoktu; bu durum, erken dönem tahminlerinin neden hatalı çıktığını açıklamaktadır.";"missing; away";present;B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
absolute;"tam; kesin";adj.;The constitution does not grant the executive absolute authority, because major decisions remain subject to judicial and parliamentary review.;"Anayasa yürütmeye mutlak yetki vermez; çünkü önemli kararlar yargı ve parlamento denetimine tabi olmaya devam eder.";"complete; total; utter";"partial; limited";B2;probability_certainty;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
absorb;emmek, soğurmak;v.;Dark surfaces absorb more solar radiation than light ones, which is why asphalt can become extremely hot on summer afternoons.;"Koyu yüzeyler açık renkli yüzeylere göre daha fazla güneş ışınımı soğurur; bu nedenle asfalt yaz öğleden sonralarında aşırı ısınabilir.";"soak up; take in";"expel; release";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
absorbent;emici, özümseyen;adj.;He has a very absorbent mind and can quickly grasp new and complex concepts with ease, much to the envy of his classmates.;Sınıf arkadaşlarının kıskandığı kadar, çok emici bir zihne sahiptir ve yeni, karmaşık kavramları kolaylıkla hızla kavrayabilir.;"receptive; sponge-like; permeable";"impermeable; non-absorbent";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
absorption;emme, içine çekme;n.;Poor iron absorption can occur even when the diet contains enough iron, particularly in people with certain digestive disorders.;Beslenmede yeterli demir bulunsa bile, özellikle bazı sindirim bozuklukları olan kişilerde demir emilimi yetersiz olabilir.;"soaking up; taking in; assimilation";"release; emission";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abstain;kaçınmak, uzak durmak;v.;Delegates who disagreed with both proposals chose to abstain rather than support a compromise they considered ineffective.;Her iki öneriye de katılmayan delegeler, etkisiz buldukları bir uzlaşmayı desteklemek yerine çekimser kalmayı seçti.;"refrain; desist; forgo";"indulge; partake";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abstain from;-den kaçınmak, uzak durmak;phr. v.;"You must abstain from alcohol. The broader context clarifies how ""abstain from"" is used in natural English.";"Alkolden kaçınmalısınız. Ek bağlam, ""abstain from"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"refrain from; avoid";indulge in;B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abstract;"soyut; özet; soyut sanat eseri";"adj.;n.";Although the theory may seem abstract, its principles have practical applications in fields ranging from cryptography to network design.;Kuram soyut görünebilse de ilkeleri kriptografiden ağ tasarımına kadar uzanan alanlarda pratik uygulamalara sahiptir.;"theoretical; conceptual; summary; nonrepresentational";"concrete; specific; actual";B2;art_design;Somut olarak var olmayan, düşünceye dayalı.
absurd;saçma, mantıksız;adj.;It would be absurd to assess a century of climate change using temperature measurements collected during a single unusually cold winter.;Bir yüzyıllık iklim değişikliğini, olağandışı derecede soğuk tek bir kışta toplanan sıcaklık ölçümleriyle değerlendirmek saçma olurdu.;"ridiculous; foolish; ludicrous";"sensible; logical";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abundance;bolluk;n.;The region's abundance of freshwater enabled agriculture to expand even during prolonged periods of drought.;Bölgedeki tatlı su bolluğu, uzun süren kuraklık dönemlerinde bile tarımın genişlemesini sağladı.;"plenty; wealth; profusion";"scarcity; lack";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abundant;bol, bereketli;adj.;Abundant archaeological evidence suggests that the valley supported permanent settlements long before the emergence of large urban centres.;Bol miktardaki arkeolojik kanıt, vadinin büyük kent merkezleri ortaya çıkmadan çok önce kalıcı yerleşimleri barındırdığını göstermektedir.;"plentiful; rich";"scarce; rare";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abundantly;bolca;adv.;"The plant grows abundantly in this climate. The broader context clarifies how ""abundantly"" is used in natural English.";"Bitki bu iklimde bolca yetişir. Ek bağlam, ""abundantly"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"plentifully; copiously; richly";"scarcely; rarely";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abuse;istismar etmek, kötüye kullanmak;v.;Stronger oversight is needed to prevent the abuse of personal data collected through mobile applications and online platforms.;Mobil uygulamalar ve çevrim içi platformlar aracılığıyla toplanan kişisel verilerin kötüye kullanılmasını önlemek için daha güçlü denetime ihtiyaç vardır.;"misuse; mistreat; exploit";"respect; protect";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abusive;"kötü muamele eden; taciz edici";adj.;The referee sent him off for using abusive language.;Hakem, küfürlü konuştuğu için onu oyundan attı.;"insulting; offensive; harmful";"respectful; kind";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
academic;Akademik;adj.;She has a very successful academic career in the field of molecular biology.;Moleküler biyoloji alanında çok başarılı bir akademik kariyeri var.;"scholarly; educational; intellectual";"non-academic; practical";B1;education_learning;Eğitim ve araştırma ile ilgili her şey için kullanılır.
accelerate;hızlandırmak;v.;Warmer ocean temperatures can accelerate the loss of polar ice by increasing both surface melting and the movement of glaciers.;Daha sıcak okyanus sıcaklıkları hem yüzey erimesini hem de buzulların hareketini artırarak kutup buzlarının kaybını hızlandırabilir.;"speed up; quicken; hasten";"decelerate; slow down";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accelerator;Gaz Pedalı;n.;He pressed the accelerator hard, and the sports car shot forward.;Gaza sertçe bastı ve spor araba ileri fırladı.;"throttle; gas pedal";brake;B1;"chemistry_materials;energy_resources;transportation_traffic";Araçlarda hızı artırmak için kullanılan pedal.
accent;"Şive; Aksan";n.;Her regional accent became less noticeable after years abroad, although certain vowel sounds still revealed where she had grown up.;"Yıllarca yurt dışında yaşadıktan sonra bölgesel aksanı daha az belirginleşti; ancak bazı ünlü sesler nerede büyüdüğünü hâlâ ele veriyordu.";"pronunciation; intonation; dialect";;A2;language_linguistics;Bir dilin konuşulma biçimindeki bölgesel veya sosyal farklılık.
accept;kabul etmek;v.;Many patients are reluctant to accept a diagnosis until the physician explains how the symptoms fit the available clinical evidence.;Doktor belirtilerin mevcut klinik kanıtlarla nasıl örtüştüğünü açıklayana kadar birçok hasta tanıyı kabul etmekte isteksiz davranır.;"receive; agree; take";"refuse; reject; decline";A2;academic_general;Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
acceptability;kabul edilebilirlik;n.;The acceptability of the proposal is in doubt.;Teklifin kabul edilebilirliği şüpheli.;"suitability; appropriateness; admissibility";unacceptability;C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
acceptable;kabul edilebilir;adj.;A temporary reduction in output may be acceptable if it prevents permanent damage to equipment during periods of extreme demand.;Geçici üretim azalması, aşırı talep dönemlerinde ekipmanın kalıcı olarak zarar görmesini önlüyorsa kabul edilebilir olabilir.;"satisfactory; admissible";"unacceptable; unsatisfactory";B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
acceptably;kabul edilebilir şekilde;adv.;"The food was acceptably good. The broader context clarifies how ""acceptably"" is used in natural English.";"Yemek kabul edilebilir derecede iyiydi. Ek bağlam, ""acceptably"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"satisfactorily; adequately; suitably";unacceptably;C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
acceptance;kabul, alma;n.;"Her acceptance of the award was gracious. The broader context clarifies how ""acceptance"" is used in natural English.";"Ödülü kabulü zarifti. Ek bağlam, ""acceptance"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"approval; reception; agreement";"refusal; rejection";B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
accepted;kabul edilmiş, kabul görmüş;adj.;"It is a widely accepted fact. The broader context clarifies how ""accepted"" is used in natural English.";"Bu geniş çapta kabul görmüş bir gerçektir. Ek bağlam, ""accepted"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"recognized; acknowledged; approved";"unaccepted; rejected";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
access;erişim, ulaşım;n.;Rural schools often struggle to provide students with reliable access to laboratories, libraries, and high-speed internet.;Kırsal bölgelerdeki okullar, öğrencilere laboratuvarlara, kütüphanelere ve yüksek hızlı internete güvenilir erişim sağlamakta çoğu zaman zorlanır.;"entry; admission";"exclusion; exit";B1;transportation_traffic;Orta seviye kelime. Genel iletişimde kullanılır.
access to;erişim;NP;"Students have access to the library. The broader context clarifies how ""access to"" is used in natural English.";"Öğrencilerin kütüphaneye erişimi var. Ek bağlam, ""access to"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"entry to; admission to";no access to;B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
accessible;"Erişilebilir; Kolay Bulunur";adj.;The information should be easily accessible to all members of the public.;Bilgi, halkın tüm üyeleri tarafından kolayca erişilebilir olmalıdır.;"approachable; available; reachable";"inaccessible; remote; unavailable";B2;technology_it;Ulaşılabilir veya anlaşılması kolay.
accident;kaza;n.;The chemical spill was initially described as an accident, but later evidence revealed repeated violations of basic safety procedures.;"Kimyasal sızıntı başlangıçta bir kaza olarak tanımlandı; ancak daha sonraki kanıtlar temel güvenlik prosedürlerinin defalarca ihlal edildiğini ortaya koydu.";"crash; mishap";"purpose; intent";A2;risk_safety;Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
accidentally;kazara, tesadüfen;adv.;The archive was accidentally deleted during a server migration, but an off-site backup allowed the team to recover every file.;"Arşiv sunucu taşıma işlemi sırasında yanlışlıkla silindi; ancak tesis dışındaki bir yedek, ekibin tüm dosyaları kurtarmasını sağladı.";"unintentionally; by chance";"intentionally; deliberately";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
acclaim;"alkışlamak, övmek, beğenmek; övgü, alkış, takdir, beğeni";"n.;v.";The novel received international acclaim for portraying migration without reducing its characters to simple political symbols.;Roman, göçü karakterlerini basit siyasi sembollere indirgemeden ele aldığı için uluslararası övgü aldı.;"praise; applaud; commend; recognition";"criticize; condemnation";C1;academic_general;Herkes tarafından çok beğenilmek ve övülmek.
acclaim for;beğeni, övgü;NP;"She received great acclaim for her role. The broader context clarifies how ""acclaim for"" is used in natural English.";"Rolü için büyük beğeni topladı. Ek bağlam, ""acclaim for"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"praise for; recognition for";criticism for;B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
acclimatize;iklime alıştırmak, uyum sağlamak;v.;Athletes arriving from sea level may need several days to acclimatize before competing at a high-altitude venue.;Deniz seviyesinden gelen sporcuların yüksek rakımlı bir yerde yarışmadan önce iklime uyum sağlamaları birkaç gün sürebilir.;"adapt; adjust; accustom";;C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
accommodate;uyum sağlamak, barındırmak, talepleri karşılamak;v.;The redesigned urban transit terminal was specifically built to accommodate higher passenger volumes during rush hours.;Yeniden tasarlanan kentsel ulaşım terminali, yoğun saatlerde daha yüksek yolcu hacimlerini karşılamak ve barındırmak üzere özel olarak inşa edildi.;"adapt to; house; oblige";"reject; refuse; obstruct";B2;"society_social_issues;urbanization_cities;construction_infrastructure";YDS'de birden fazla anlamıyla sıklıkla sorulur.
accompany;eşlik etmek;v.;A detailed map will accompany the report so that readers can compare projected flood zones with existing residential areas.;Okuyucuların öngörülen taşkın bölgelerini mevcut yerleşim alanlarıyla karşılaştırabilmesi için rapora ayrıntılı bir harita eşlik edecektir.;"go with; escort";leave;B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
accompany by;eşlik etmek;phr. v.;"He was accompanied by his wife. The broader context clarifies how ""accompany by"" is used in natural English.";"Karısı eşlik ediyordu. Ek bağlam, ""accompany by"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"go with; join";leave;B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
accomplish;başarmak, tamamlamak;v.;The project cannot accomplish its conservation goals unless local communities gain tangible economic benefits from protecting the forest.;Yerel topluluklar ormanı korumaktan somut ekonomik yararlar elde etmedikçe proje koruma hedeflerine ulaşamaz.;"achieve; complete";"fail; give up";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
according to;-e göre, uyarınca;prep.;According to the latest weather forecast, we should expect heavy rainfall and strong winds throughout the entire weekend.;Son hava durumu tahminine göre, hafta sonu boyunca yoğun yağış ve kuvvetli rüzgar beklemeliyiz.;in accordance with;;B1;academic_writing;Orta seviye kelime. Genel iletişimde kullanılır.
accordingly;dolayısıyla, bu yüzden, bu doğrultuda, buna göre;adv.;The evidence showed that the old bridge could not withstand heavier traffic, and the city adjusted its investment priorities accordingly.;Kanıtlar eski köprünün daha ağır trafiğe dayanamayacağını gösterdi ve şehir yatırım önceliklerini buna göre ayarladı.;"consequently; therefore; correspondingly";conversely;B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
account;hesap, anlatım;n.;Her account of the expedition differs from the official record in several details, particularly regarding the causes of the final delay.;Onun keşif gezisine ilişkin anlatımı, özellikle son gecikmenin nedenleri konusunda resmî kayıttan birkaç ayrıntıda farklılık göstermektedir.;"report; description; narrative";"silence; query";B1;mathematics;Orta seviye kelime. Genel iletişimde kullanılır.
account for;oluşturmak, açıklamak;phr. v.;Transport emissions account for a substantial share of urban air pollution, especially in cities that rely heavily on private vehicles.;Ulaşım kaynaklı emisyonlar, özellikle özel araçlara büyük ölçüde bağımlı şehirlerde kentsel hava kirliliğinin önemli bir bölümünü oluşturur.;"explain; constitute; justify";"ignore; overlook";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
accountancy;muhasebe;n.;She decided to pursue a career in accountancy because she has always been good with numbers.;Rakamlarla arası her zaman iyi olduğu için muhasebe alanında bir kariyer yapmaya karar verdi.;accounting;;B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accountant;muhasebeci;n.;The accountant noticed that several payments had been recorded twice, creating a misleading picture of the company's monthly expenses.;"Muhasebeci bazı ödemelerin iki kez kaydedildiğini fark etti; bu durum şirketin aylık giderleri hakkında yanıltıcı bir görünüm oluşturmuştu.";"auditor; bookkeeper";;B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
accounting;Muhasebe;n.;She decided to pursue a career in accounting after graduating from university.;Üniversiteden mezun olduktan sonra muhasebe alanında kariyer yapmaya karar verdi.;"bookkeeping; auditing; finance";;B1;business_management;Finansal işlemlerin kaydedilmesi, sınıflandırılması ve özetlenmesi süreci.
accumulate;biriktirmek, yığmak;v.;Tiny plastic particles can accumulate in marine organisms and eventually move through the food chain to larger predators.;Çok küçük plastik parçacıkları deniz canlılarında birikebilir ve zamanla besin zinciri yoluyla daha büyük yırtıcılara geçebilir.;"gather; collect; amass";"disperse; dissipate; spend";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accumulated;birikmiş;adj.;"Accumulated snow blocked the roads. The broader context clarifies how ""accumulated"" is used in natural English.";"Biriken kar yolları kapattı. Ek bağlam, ""accumulated"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"gathered; collected; amassed";"scattered; dispersed";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accumulation;birikme, yığın;n.;"The accumulation of wealth was his goal. The broader context clarifies how ""accumulation"" is used in natural English.";"Zenginlik birikimi onun hedefiydi. Ek bağlam, ""accumulation"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"buildup; collection; stockpile";"loss; scattering";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accumulator;akü;n.;"The car's accumulator is flat. The broader context clarifies how ""accumulator"" is used in natural English.";"Arabanın aküsü bitmiş. Ek bağlam, ""accumulator"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"battery; storage cell";;B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accurate;doğru, kesin, hatasız;adj.;An accurate reconstruction of the ancient coastline requires evidence from geology, archaeology, and historical sea-level records.;Antik kıyı çizgisinin doğru biçimde yeniden oluşturulması jeoloji, arkeoloji ve tarihsel deniz seviyesi kayıtlarından kanıt gerektirir.;"precise; correct";"inaccurate; wrong";B1;comparison_evaluation;Orta seviye kelime. Genel iletişimde kullanılır.
accuse;suçlamak;v.;Opposition parties accuse the administration of withholding documents that could clarify how the disputed contract was awarded.;Muhalefet partileri, tartışmalı sözleşmenin nasıl verildiğini açıklığa kavuşturabilecek belgeleri saklamakla yönetimi suçluyor.;"blame; charge; indict";"defend; absolve";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accuse of;ile suçlamak;phr. v.;"He was accused of theft. The broader context clarifies how ""accuse of"" is used in natural English.";"Hırsızlıkla suçlandı. Ek bağlam, ""accuse of"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"charge with; blame for";"defend; exonerate";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
