source_number;source_title;replacement_title_en;replacement_title_tr;level;sentences;questions
43;043-San Francisco (San Francisco);San Francisco: A City Shaped by Land and Water;San Francisco: Kara ve Suyun Şekillendirdiği Bir Şehir;A2;15;5
44;044-Selton's Second Shopping Centre (Selton'un İkinci AVM'si);A Second Shopping Centre: Growth or Too Much Competition?;İkinci Bir Alışveriş Merkezi: Büyüme mi, Aşırı Rekabet mi?;A2;15;5
45;045-Small Cars (Küçük Arabalar);Small Cars in a Changing Transport System;Değişen Ulaşım Sisteminde Küçük Otomobiller;A2;15;5
46;046-Space Hotels (Uzay Otelleri);Space Hotels: Tourism Beyond Earth;Uzay Otelleri: Dünya'nın Ötesinde Turizm;A2;15;5
47;047-Super Tanker Disaster (Süper Tanker Felaketi);Oil Tanker Accidents: Response, Recovery, and Prevention;Petrol Tankeri Kazaları: Müdahale, İyileştirme ve Önleme;A2;15;5
48;048-Technology Pros and Cons (Teknolojinin Artıları ve Eksileri);Technology: Benefits, Risks, and Responsible Choices;Teknoloji: Yararlar, Riskler ve Sorumlu Tercihler;A2;15;5
49;049-The Hebrides Islands (Hebrides Adalari);The Hebrides: Island Life on Scotland's Atlantic Edge;Hebridler: İskoçya'nın Atlantik Kıyısında Ada Yaşamı;A2;15;5
50;050-The International Hotel (Uluslararası Otel);International Hotels: Serving Guests Across Cultures;Uluslararası Oteller: Farklı Kültürlerden Konuklara Hizmet;A2;15;5
51;051-The Invention of the Telephone (Telefonun İcadı);The Invention of the Telephone: From Experiment to Network;Telefonun İcadı: Deneyden İletişim Ağına;A2;15;5
52;052-The Olympic Games (Olimpiyat Oyunları);The Olympic Games: Competition and International Ideals;Olimpiyat Oyunları: Rekabet ve Uluslararası İdealler;A2;15;5
53;053-The Olympic Games (Olimpiyat Oyunları);The Olympic Games: Sport, Culture, and Shared Attention;Olimpiyat Oyunları: Spor, Kültür ve Ortak İlgi;A2;15;5
54;054-The Virtual Beach but Real Fun (Sanal Plaj ama Gercek Eglence);The Virtual Beach: Real Fun in a Simulated World;Sanal Plaj: Simüle Edilmiş Bir Dünyada Gerçek Eğlence;A2;15;5
55;055-Tom's Diary (Tom'un Günlüğü);Tom's Diary: How Daily Writing Preserves Experience;Tom'un Günlüğü: Günlük Yazmak Deneyimi Nasıl Korur?;A2;15;5
56;056-Transportation in Turkey (Türkiye'de Ulaşım);Transportation in Turkey: Connecting a Large and Varied Country;Türkiye'de Ulaşım: Büyük ve Çeşitli Bir Ülkeyi Birbirine Bağlamak;A2;15;5
57;057-Various Advertisements (Çeşitli İlanlar);Reading Advertisements Critically;Reklamları Eleştirel Okumak;A2;15;5
58;058-Visiting Japan (Japonya'yı Ziyaret Etmek);Visiting Japan: Respect, Preparation, and Discovery;Japonya'yı Ziyaret Etmek: Saygı, Hazırlık ve Keşif;A2;15;5
59;059-William Shakespeare (William Shakespeare);William Shakespeare: Theatre, Language, and Lasting Influence;William Shakespeare: Tiyatro, Dil ve Kalıcı Etki;A2;15;5
60;060-Winter: The Coldest Season (Kış: En Soğuk Mevsim);Winter: Life in the Coldest Season;Kış: En Soğuk Mevsimde Yaşam;A2;15;5
61;061-World in Danger (Dünyamız Tehlikede);A World in Danger: Protecting Shared Natural Systems;Tehlikedeki Dünya: Ortak Doğal Sistemleri Korumak;A2;15;5
62;062-Young Communicators on the EU Path Competition (AB Yolunda Genç İletişimciler Yarışması);Young Communicators on the EU Path;AB Yolunda Genç İletişimciler;A2;15;5
63;063-A Case for Safety (Güvenlik İçin Bir Dava);A Case for Safety: Preventing Everyday Accidents;Güvenlik İçin Bir Gerekçe: Günlük Kazaları Önlemek;B1;15;5
64;064-A Good Life (İyi Bir Yaşam);A Good Life: More Than Money or Comfort;İyi Bir Yaşam: Para ve Rahatlıktan Daha Fazlası;B1;15;5
65;065-A Healthy Diet for Everyone (Herkes İçin Sağlıklı Bir Diyet);A Healthy Diet for Everyone;Herkes İçin Sağlıklı Beslenme;B1;15;5
66;066-A Land of Immigrants (Bir Göçmenler Ülkesi);A Land of Immigrants: Migration and the Making of Society;Göçmenler Ülkesi: Göç ve Toplumun Oluşumu;B1;15;5
67;067-Aborigines: The Native Australians (Aborijinler: Yerli Avustralyalılar);Aboriginal Australians: The World's Oldest Continuing Cultures;Aborjin Avustralyalılar: Dünyanın En Eski Süregelen Kültürlerinden Biri;B1;15;5
68;068-Aktekke Mosque (Aktekke Camii);Aktekke Mosque: Architecture, Worship, and Urban Memory;Aktekke Camii: Mimari, İbadet ve Kentsel Hafıza;B1;15;5
69;069-All You Want to Learn about Corn (Mısır Hakkında Öğrenmek İstediğiniz Her Şey);Corn: From Field to Food and Industry;Mısır: Tarladan Gıdaya ve Sanayiye;B1;15;5
70;070-Ancient Artifacts and Ancient Air (Antik Eserler ve Antik Hava);Ancient Artifacts: What Objects Can Tell Us About the Past;Antik Eserler: Nesneler Geçmiş Hakkında Ne Anlatabilir?;B1;15;5
71;071-Animals (Hayvanlar);Animals: Diversity, Adaptation, and Survival;Hayvanlar: Çeşitlilik, Uyum ve Hayatta Kalma;B1;15;5
72;072-Animals: Blessings of Nature (Hayvanlar: Doğanın Nimettleri);Animals as Essential Partners in Ecosystems;Ekosistemlerin Vazgeçilmez Ortakları Olarak Hayvanlar;B1;15;5
73;073-Astrology: A System of Belief (Astroloji: Bir İnanç Sistemi);Astrology: Cultural Meaning and Scientific Evidence;Astroloji: Kültürel Anlam ve Bilimsel Kanıt;B1;15;5
74;074-Attitudes towards Money (Paraya Karşı Tutumlar);Attitudes toward Money: Security, Status, and Choice;Paraya Yönelik Tutumlar: Güvenlik, Statü ve Tercih;B1;15;5
75;075-Base-Jumping (Base-Atlama);BASE Jumping: Extreme Sport and Narrow Safety Margins;BASE Jumping: Ekstrem Spor ve Dar Güvenlik Payları;B1;15;5
76;076-Beating The Bullies (Zorbaları Yenmek);Beating the Bullies: Prevention, Support, and School Culture;Zorbalıkla Mücadele: Önleme, Destek ve Okul Kültürü;B1;15;5
77;077-Blue-Jeans (Kot Pantolon);Blue Jeans: From Workwear to Global Fashion;Mavi Kot Pantolon: İş Giysisinden Küresel Modaya;B1;15;5
78;078-Breast Cancer (Meme Kanseri);Breast Cancer: Awareness, Detection, and Treatment;Meme Kanseri: Farkındalık, Tanı ve Tedavi;B1;15;5
79;079-Cities in the Sea (Denizdeki Şehirler);Cities in the Sea: Engineering for a Crowded Coast;Denizde Şehirler: Kalabalık Kıyılar İçin Mühendislik;B1;15;5
80;080-Climber Fights For Life On Mountain (Dağcı Dağda Hayatı İçin Savaşıyor);Mountain Rescue: When a Climber's Life Depends on Decisions;Dağ Kurtarma: Bir Dağcının Yaşamı Kararlara Bağlı Olduğunda;B1;15;5
81;081-Comets (Kuyruklu Yıldızlar);Comets: Icy Visitors to the Inner Solar System;Kuyruklu Yıldızlar: İç Güneş Sisteminin Buzlu Ziyaretçileri;B1;15;5
82;082-Corn (Mısır);Corn Through History: A Crop Shaped by People;Tarih Boyunca Mısır: İnsanların Şekillendirdiği Bir Ürün;B1;15;5
83;083-Culture Shock! (Kültür Şoku!);Culture Shock: Learning to Live with Unfamiliar Rules;Kültür Şoku: Tanıdık Olmayan Kurallarla Yaşamayı Öğrenmek;B1;15;5
84;084-Demand for beef speeds destruction of Amazon forest (Sığır eti talebi Amazon ormanının yıkımını hızlandırıyor);Beef Demand and Amazon Deforestation;Sığır Eti Talebi ve Amazon Ormansızlaşması;B1;15;5
85;085-Diana, Princess of Wales: The People's Princess (Galler Prensesi Diana: Halkın Prensesi);Diana, Princess of Wales: Public Life and Humanitarian Influence;Galler Prensesi Diana: Kamusal Yaşam ve İnsani Etki;B1;15;5
86;086-Disabled at Work Project Wins European Award (Engelliler Çalışıyor Projesi'ne Avrupa Ödülü);Disabled at Work: Building Inclusive Employment;İş Yaşamında Engellilik: Kapsayıcı İstihdam Oluşturmak;B1;15;5
87;087-Downhill All The Way - To Casualty (Tam Gaz Aşağı - Hastaneye Kadar);Downhill All the Way: Speed, Skill, and Injury Risk;Yokuş Aşağı Sonuna Kadar: Hız, Beceri ve Yaralanma Riski;B1;15;5
88;088-Earthquake Prediction (Deprem Tahmini);Earthquake Prediction: What Science Can and Cannot Do;Deprem Tahmini: Bilimin Yapabildikleri ve Yapamadıkları;B1;15;5
89;089-Future of Rail Transport (Demiryolu Taşımacılığının Geleceği);The Future of Rail Transport;Demiryolu Ulaşımının Geleceği;B1;15;5
90;090-Gandhi Indian Restaurant (Gandhi Hint Restoranı);An Indian Restaurant: Food, Service, and Cultural Adaptation;Bir Hint Restoranı: Yemek, Hizmet ve Kültürel Uyum;B1;15;5
91;091-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);Giovanna Amati: Talent, Opportunity, and Racing Careers;Giovanna Amati: Yetenek, Fırsat ve Yarış Kariyeri;B1;15;5
92;092-Growing Up (Büyümek);Growing Up: Change, Independence, and Responsibility;Büyümek: Değişim, Bağımsızlık ve Sorumluluk;B1;15;5
93;093-Hair Loss: Causes and Prevalence (Saç Dökülmesi: Nedenleri ve Yaygınlığı);Hair Loss: Causes, Patterns, and Practical Responses;Saç Dökülmesi: Nedenler, Örüntüler ve Pratik Yaklaşımlar;B1;15;5
94;094-Halley's Comet (Halley Kuyruklu Yıldızı);Halley's Comet: A Predictable Visitor from Deep Space;Halley Kuyruklu Yıldızı: Derin Uzaydan Öngörülebilir Bir Ziyaretçi;B1;15;5
95;095-Harrods: A Different World (Harrods: Farklı Bir Dünya);Harrods: Retail, Luxury, and the Department Store Experience;Harrods: Perakende, Lüks ve Büyük Mağaza Deneyimi;B1;15;5
96;096-High-Rise (Yüksek Binalar);High-Rise Buildings: Building Upward in Dense Cities;Yüksek Katlı Binalar: Yoğun Şehirlerde Yukarı Doğru İnşa Etmek;B1;15;5
97;097-How New York Began (New York Nasil Basladi);How New York Began: From Harbor Settlement to Global City;New York Nasıl Başladı: Liman Yerleşiminden Küresel Kente;B1;15;5
98;098-Indigenous Australia (Yerli Avustralya);Indigenous Australia: Country, Culture, and Continuing Rights;Yerli Avustralya: Toprak, Kültür ve Süregelen Haklar;B1;15;5
99;099-Inflation (Enflasyon);Inflation: Why Prices Rise and Why It Matters;Enflasyon: Fiyatlar Neden Yükselir ve Neden Önemlidir?;B1;15;5
100;100-Internet as News Source (İnternet Haber Kaynağı);The Internet as a News Source: Speed, Access, and Verification;Haber Kaynağı Olarak İnternet: Hız, Erişim ve Doğrulama;B1;15;5
